,Book-Author,Description
547,Bob Burns,"Bob Burns may refer to:Bob Burns (actor) (1884–1957) in The Lonely Trail
Bob Burns (1921–2000), American football player and coach
Bob Burns, Member of the Arizona Corporation Commission
Bob Burns (drummer) (1950–2015), original drummer in Lynyrd Skynyrd
Bob Burns (footballer) (1884–?), Australian rules footballer for Collingwood
Bob Burns (golfer), American PGA Tour and Nationwide Tour professional golfer
Bob Burns (humorist) (1890–1956), American radio and film comedian of the 1930s and 1940s
Bob Burns, American politician and member of the Missouri House of Representatives
Bob Burns, former American football running back
Bob Burns III, American actor and archivist"
548,American Map Publishing,
550,Tyndale House Publishers,"Tyndale House is a Christian publisher in Carol Stream, Illinois."
551,Catherine Palmer,"Catherine Palmer is an American Christian novelist. She lives in Atlanta with her husband, Tim, where they serve as missionaries in a refugee community. They have two grown sons. She is a graduate of Southwest Baptist University and holds a master's degree in English from Baylor University. Her first book was published in 1988. Since then, she has published over 50 novels, many of them national best sellers. Catherine has won numerous awards for her writing, including the Christy Award, the highest honor in Christian fiction. In 2004, she was given the Career Achievement Award for Inspirational Romance by Romantic Times magazine. More than two million copies of Catherine's novels are currently in print."
552,Stuart Briscoe,"D. Stuart Briscoe was an evangelical Christian author, international speaker and senior pastor of Elmbrook Church, in Brookfield, Wisconsin, United States. Elmbrook is the largest church in Wisconsin, averaging 7,000 in attendance per week, making it one of the 100-largest churches in the United States. Briscoe is credited with transforming Elmbrook from a church of 300 members to one of the largest churches in America."
553,David T. Moore,
554,Dan B. Allendar,
555,B J. Hoff,
556,Sally Laity,
557,James Dobson,"James Clayton Dobson Jr.
(born April 21, 1936) is an American evangelical Christian author, psychologist, and founder of Focus on the Family (FOTF), which he led from 1977 until 2010. In the 1980s he was ranked as one of the most influential spokesmen for conservative social positions in American public life. Although never an ordained minister, he was called ""the nation's most influential evangelical leader"" by The New York Times while Slate portrayed him as a successor to evangelical leaders Jerry Falwell and Pat Robertson."
558,Gary Dillard Joiner,
559,David F. Schmitz,"David F. Schmitz holds the Robert Allen Skotheim Chair of History at Whitman College. He specializes in 20th Century United States history, especially United States Foreign Policy."
560,Marguerite Guzman Bouvard,
561,Darien J. Davis,
562,Coryne Hall,
563,Christine O'Keeffe Lafser,
564,Raymond V. Schoder,
565,William Masterton,
566,James K.  Lowers,
567,Lillian Hellman,"Lillian Florence Hellman was an American playwright, prose writer, memoirist and screenwriter known for her success on Broadway, as well as her communist sympathies and political activism. She was blacklisted after her appearance before the House Committee on Un-American Activities (HUAC) at the height of the anti-communist campaigns of 1947–1952. Although she continued to work on Broadway in the 1950s, her blacklisting by the American film industry caused a drop in her income. Many praised Hellman for refusing to answer questions by HUAC, but others believed, despite her denial, that she had belonged to the Communist Party."
568,Jerry Bobrow,
569,Eva  Fitzwater,
570,Harry  Kaste,
571,Robert J. Milch,
572,F. Thompson,
573,J. L. Roberts,
574,Rollin O. Glaser,
575,James L. Roberts,
577,Paula Reed,
578,Peter Probyn,
579,Fern Michaels,"Fern Michaels is an American writer of romance and thriller novels. Her books include Family Blessings, Pretty Woman, and Crown Jewel, as well as the Texas quartet and the Captive series."
580,Lauren Bach,
581,Judith A. Lansdowne,
582,Martha Schroeder,
583,Linda Devlin,"Linda Winstead Jones is an American author who has written more than fifty romance books in several subgenres, including Paranormal Romance, Romance, Historical Romance, Fairy Tale Romance, and Romantic Suspense."
584,Cindy Holbrook,
586,Lori Handeland,Lori Handeland is an American author of romance novels. She has twice won the Romance Writers of America RITA Award.
587,Kate Huntington,
589,Tennessee Williams,"Thomas Lanier Williams III, known by his pen name Tennessee Williams, was an American playwright and screenwriter. Along with contemporaries Eugene O'Neill and Arthur Miller, he is considered among the three foremost playwrights of 20th-century American drama."
590,Romulus Linney,"Romulus Linney may refer to:Romulus Zachariah Linney (1841-1910), American politician
Romulus Linney (playwright) (1930-2011), American playwright and great-grandson of above
"
591,Clifford Odets,"Clifford Odets was an American playwright, screenwriter, and actor. In the mid-1930s, he was widely seen as the potential successor to Nobel Prize-winning playwright Eugene O'Neill, as O'Neill began to withdraw from Broadway's commercial pressures and increasing critical backlash. From January 1935, Odets's socially relevant dramas were extremely influential, particularly for the remainder of the Great Depression. His works inspired the next several generations of playwrights, including Arthur Miller, Paddy Chayefsky, Neil Simon, and David Mamet. After the production of his play Clash by Night in the 1941–42 season, Odets focused his energies primarily on film projects, remaining in Hollywood for the next seven years. He returned to New York in 1948 for five and a half years, during which time he produced three more Broadway plays, only one of which was a success. His prominence was eventually eclipsed by Miller, Tennessee Williams, and in the early- to mid-1950s, William Inge."
592,Philip Jamison,"Philip Jamison was an American artist working primarily with watercolor as a medium. Typical scenes are landscapes, seascapes, interiors and flower arrangements."
593,Burt Silverman,
594,Anthony Ryder,
595,Jim Hughes,James Hughes may refer to:
596,Helen Van Wyk,
597,Joseph Frazier Wall,Joseph Frazier Wall was an American historian and professor of history at Grinnell College.
598,Clement Clarke Moore,"Clement Clarke Moore was an American writer, scholar and real estate developer. He is best known as author of the Christmas poem ""A Visit from St. Nicholas."""
599,Richard W. Barber,
600,Sylvia A. Johnson,
601,Ginger Wadsworth,"Virginia ""Ginger"" Wadsworth is an American writer of biographies, Western American history, science, and natural history for young readers. She is the author of 30 award-winning books."
602,Ginger. Wadsworth,
603,Alan James,"Alan James was an American film director and screenwriter. He directed more than 70 films between 1916 and 1943. He also wrote for more than 60 films between 1916 and 1951. He was born in Port Townsend, Washington, and died in Hollywood, California."
605,Joan Hanson,
606,Stephen K Smuin,
607,Earle Rice,
608,Karen Brackett,
609,Karla F. C. Holloway,"Karla Francesca Holloway is an American academic. She is James B. Duke Professor of English & Professor of Law at Duke University, and holds appointments in the Duke University School of Law as well as the university's Department of English, Department of African & African American Studies, and Program in Women's Studies."
610,Cindy Patton,"Cindy Patton is an American sociologist and historian specializing in the history of the AIDS epidemic. A former faculty member at Temple University and Emory University, she currently teaches at Simon Fraser University, where she held the Canada Research Chair in Community, Culture, and Health from 2003 to 2014. Her work has appeared in Criticism, the Feminist Review, and the International Review of Qualitative Research, and she co-edited a special edition of Cultural Studies on French sociologist Pierre Bourdieu."
